Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,4.64,4.92,4.51,4.89,3375600,4.89
2014-12-30,4.86,5.04,4.77,4.86,3290800,4.86
2014-12-29,5.35,5.36,4.70,4.86,5598200,4.86
2014-12-26,5.55,5.62,5.10,5.24,3717000,5.24
2014-12-24,5.54,5.55,5.26,5.45,2543200,5.45
2014-12-23,5.37,6.00,5.37,5.82,4459300,5.82
2014-12-22,5.73,5.74,5.32,5.36,4886100,5.36
2014-12-19,5.62,6.31,5.42,6.17,4619400,6.17
2014-12-18,6.06,6.10,5.15,5.29,6884400,5.29
2014-12-17,5.46,6.63,5.38,5.76,8908300,5.76
2014-12-16,5.22,6.10,5.11,5.75,4949000,5.75
2014-12-15,6.33,6.39,5.50,5.51,3809400,5.51
2014-12-12,6.67,6.70,6.20,6.26,2692700,6.26
2014-12-11,7.26,7.63,6.95,6.98,1876200,6.98
2014-12-10,7.99,8.00,7.21,7.58,2087100,7.58
2014-12-09,8.22,8.65,8.07,8.57,774000,8.57
2014-12-08,8.92,8.96,8.17,8.27,1281300,8.27
2014-12-05,9.68,9.75,9.18,9.39,442800,9.39
2014-12-04,9.77,10.06,9.62,9.89,383500,9.89
2014-12-03,10.24,10.51,9.90,10.18,468800,10.18
2014-12-02,10.55,10.80,9.81,10.14,925400,10.14
2014-12-01,10.00,11.20,9.94,11.08,900400,11.08
2014-11-28,11.61,11.70,10.27,10.46,794800,10.46
2014-11-26,14.02,14.33,13.87,13.91,276400,13.91
2014-11-25,15.61,15.73,14.06,14.18,383400,14.18
2014-11-24,15.60,15.99,15.13,15.31,146700,15.31
2014-11-21,15.87,15.90,15.07,15.84,204400,15.84
2014-11-20,14.83,15.32,14.71,15.26,146600,15.26
2014-11-19,14.68,15.00,14.25,14.54,189900,14.54
2014-11-18,14.87,14.99,14.40,14.52,231100,14.52
2014-11-17,14.82,15.27,14.72,15.23,85700,15.23
2014-11-14,14.88,15.48,14.60,15.30,231700,15.30
2014-11-13,15.70,15.77,14.38,14.66,461600,14.66
2014-11-12,16.389999,16.809999,15.95,16.00,114300,16.00
2014-11-11,16.32,16.700001,15.88,16.59,156300,16.59
2014-11-10,17.879999,17.879999,16.25,16.280001,238700,16.280001
2014-11-07,17.18,17.690001,17.02,17.02,130600,17.02
2014-11-06,16.60,17.00,16.25,16.860001,162300,16.860001
2014-11-05,16.32,17.68,16.32,17.370001,217600,17.370001
2014-11-04,16.42,16.48,15.65,16.26,410200,16.26
2014-11-03,18.48,18.879999,17.00,17.139999,204700,17.139999
2014-10-31,18.00,18.629999,17.879999,18.610001,140100,18.610001
2014-10-30,19.219999,19.309999,18.639999,18.99,45800,18.99
2014-10-29,19.76,20.16,19.379999,19.83,87300,19.83
2014-10-28,18.90,19.219999,18.620001,19.01,31100,19.01
2014-10-27,18.10,18.93,17.870001,18.66,117500,18.66
2014-10-24,19.040001,19.15,18.49,19.110001,50400,19.110001
2014-10-23,19.219999,19.85,18.99,19.57,90700,19.57
2014-10-22,20.35,20.35,18.459999,18.57,154800,18.57
2014-10-21,20.309999,20.60,19.40,20.059999,75600,20.059999
2014-10-20,19.66,19.799999,18.85,19.700001,41900,19.700001
2014-10-17,20.139999,20.48,19.50,20.00,64800,20.00
2014-10-16,18.309999,21.139999,18.059999,19.68,126200,19.68
2014-10-15,18.950001,19.85,18.34,19.00,136400,19.00
2014-10-14,21.450001,21.450001,19.129999,19.27,141200,19.27
2014-10-13,21.719999,22.26,20.940001,21.66,42700,21.66
2014-10-10,21.75,22.559999,21.290001,22.040001,57200,22.040001
2014-10-09,22.90,23.00,21.58,21.77,118700,21.77
2014-10-08,23.889999,23.93,23.049999,23.719999,66000,23.719999
2014-10-07,25.41,25.49,24.51,24.57,60800,24.57
2014-10-06,25.459999,26.16,24.620001,26.16,22100,26.16
2014-10-03,26.379999,26.559999,25.15,25.43,64700,25.43
2014-10-02,25.48,26.91,25.25,26.879999,71700,26.879999
2014-10-01,27.200001,28.16,26.219999,26.309999,41600,26.309999
2014-09-30,29.51,29.530001,26.610001,26.940001,63100,26.940001
2014-09-29,28.360001,29.860001,28.360001,29.76,16200,29.76
2014-09-26,28.34,29.059999,28.030001,28.870001,13800,28.870001
2014-09-25,28.52,28.67,27.60,27.950001,8800,27.950001
2014-09-24,27.23,28.60,26.879999,28.42,29700,28.42
2014-09-23,26.799999,27.51,26.58,27.15,25600,27.15
2014-09-22,27.129999,27.129999,26.200001,26.52,25400,26.52
2014-09-19,27.27,27.66,26.870001,27.309999,23800,27.309999
2014-09-18,28.77,28.77,27.43,27.549999,15400,27.549999
2014-09-17,29.26,29.26,28.280001,28.48,10500,28.48
2014-09-16,28.15,29.43,28.00,29.200001,52400,29.200001
2014-09-15,26.74,27.690001,26.620001,27.49,18100,27.49
2014-09-12,27.610001,28.00,26.870001,26.889999,36600,26.889999
2014-09-11,26.09,28.07,26.00,27.860001,26600,27.860001
2014-09-10,27.16,27.16,26.24,26.75,28600,26.75
2014-09-09,27.91,28.02,27.40,27.57,10700,27.57
2014-09-08,26.889999,27.73,26.77,27.709999,52300,27.709999
2014-09-05,29.129999,29.129999,27.719999,28.32,35200,28.32
2014-09-04,29.43,29.84,28.90,29.27,22200,29.27
2014-09-03,28.879999,30.10,28.67,29.889999,32700,29.889999
2014-09-02,29.549999,29.610001,27.719999,27.85,39000,27.85
2014-08-29,30.18,30.700001,29.90,30.68,26100,30.68
2014-08-28,29.450001,29.57,28.879999,29.52,12900,29.52
2014-08-27,28.90,29.09,28.459999,28.76,8100,28.76
2014-08-26,29.030001,29.18,28.459999,28.889999,8300,28.889999
2014-08-25,28.16,28.40,28.15,28.40,11800,28.40
2014-08-22,28.42,28.74,28.07,28.549999,53300,28.549999
2014-08-21,28.50,29.34,28.50,29.02,16900,29.02
2014-08-20,28.42,28.48,27.969999,28.450001,17500,28.450001
2014-08-19,28.75,28.75,27.700001,28.059999,28200,28.059999
2014-08-18,29.00,29.10,28.49,28.860001,10300,28.860001
2014-08-15,29.129999,30.030001,29.10,29.92,15900,29.92
2014-08-14,30.90,30.90,28.91,28.959999,38200,28.959999
